ResponseName,ReleaseDate,Metacritic,RecommendationCount,IsFree,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,After2014,Expensive
RollerCoaster Tycoon(r) 3: Platinum,2008.0,81,2579,False,False,False,False,False,False,True,False,True,False,False,False,False,False,19.99,0,0
Act of War: Direct Action,2008.0,82,109,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2.99,0,0
ARMA: Combat Operations,2008.0,74,181,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7.99,0,0
X2: The Threat,2006.0,72,183,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,0,0
X3: Reunion,2006.0,71,280,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99,0,0
X3: Terran Conflict,2008.0,73,1262,False,False,False,True,False,False,True,False,True,False,False,False,False,False,15.99,0,0
X: Beyond the Frontier,2010.0,67,136,False,False,False,False,False,False,True,False,True,False,False,False,False,False,4.99,0,0
X Rebirth,2013.0,33,5637,False,False,False,True,False,False,False,False,True,False,False,False,False,False,29.99,0,1
FlatOut 2(tm),2006.0,76,2870,False,False,False,False,False,False,False,False,False,False,False,False,True,False,9.99,0,0
Xpand Rally,2006.0,82,116,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4.99,0,0
Call of Juarez(tm),2007.0,72,501,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Men of War: Red Tide,2009.0,77,228,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,0,0
Kings Bounty: Armored Princess,2009.0,82,308,False,False,False,False,False,False,True,True,False,False,False,False,False,False,9.99,0,0
Genesis Rising,2007.0,57,103,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,0,0
Safecracker: The Ultimate Puzzle Adventure,2007.0,69,321,False,False,False,False,True,True,False,False,False,False,False,False,False,False,4.99,0,0
Painkiller Overdose,2007.0,65,374,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
Insaniquarium Deluxe,2006.0,0,414,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,0,0
Zuma Deluxe,2006.0,0,118,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,0,0
Feeding Frenzy 2 Deluxe,2006.0,0,159,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,0,0
Peggle Deluxe,2007.0,0,682,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,0,0
Peggle Extreme,2007.0,0,618,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0
Peggle(tm) Nights,2008.0,76,248,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,0,0
Plants vs. Zombies GOTY Edition,2009.0,87,6207,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,0,0
Escape Rosecliff Island,2009.0,0,124,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,0,0
Zumas Revenge!,2009.0,78,225,False,False,False,True,False,True,False,False,False,False,False,False,False,False,4.99,0,0
Sniper Elite,2009.0,76,866,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Judge Dredd: Dredd vs. Death,2009.0,55,425,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7.99,0,0
Evil Genius,2009.0,75,1195,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99,0,0
Aliens versus Predator Classic 2000,2010.0,0,1084,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
Advent Rising,2006.0,70,226,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
BloodRayne,2006.0,65,307,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
BloodRayne 2,2006.0,67,224,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Psychonauts,2006.0,87,5130,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Sid Meiers Civilization(r) IV,2006.0,94,887,False,False,False,False,False,False,True,False,False,False,False,False,False,False,19.99,0,0
Sid Meiers Civilization(r) III Complete,2006.0,90,1328,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,0,0
Sid Meiers Pirates!,2005.0,88,1641,False,False,False,False,False,False,False,True,False,False,False,False,False,False,9.99,0,0
CivCity: Rome,2007.0,67,143,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99,0,0
Garrys Mod,2006.0,0,237684,False,False,True,False,False,False,False,False,True,False,False,False,False,False,9.99,0,0
RACE - The WTCC Game,2006.0,0,126,False,False,False,False,False,False,False,False,False,False,False,False,True,False,39.99,0,1
RACE - The WTCC Game,2006.0,0,126,False,False,False,False,False,False,False,False,False,False,False,False,True,False,39.99,0,1
S.T.A.L.K.E.R.: Shadow of Chernobyl,2007.0,82,4657,False,False,False,True,False,False,False,True,False,False,False,False,False,False,19.99,0,0
Full Spectrum Warrior,2007.0,80,104,False,False,False,True,False,False,True,False,False,False,False,False,False,False,9.99,0,0
Titan Quest,2007.0,77,2218,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.0,0,0
Titan Quest - Immortal Throne,2007.0,80,2216,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.0,0,0
Company of Heroes,2007.0,93,3856,False,False,False,True,False,False,True,False,False,False,False,False,False,False,19.99,0,0
Warhammer(r) 40000: Dawn of War(r) - Game of the Year Edition,2007.0,86,2212,False,False,False,False,False,False,True,False,False,False,False,False,False,False,12.99,0,0
Warhammer(r) 40000: Dawn of War(r) - Dark Crusade,2007.0,87,1715,False,False,False,False,False,False,True,False,False,False,False,False,False,False,12.99,0,0
Medieval II: Total War(tm),2007.0,88,5418,False,False,False,False,False,False,True,False,False,False,False,False,False,False,19.99,0,0
Condemned: Criminal Origins,2012.0,78,891,False,False,False,True,False,False,False,False,False,False,False,False,False,False,14.95,0,0
Rome: Total War(tm) - Collection,2007.0,92,5160,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99,0,0
Rome: Total War(tm) - Alexander,2007.0,79,266,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,0,0
Medieval II: Total War(tm) Kingdoms,2007.0,85,549,False,False,False,False,False,False,True,False,False,False,False,False,False,False,11.99,0,0
Heroes of Annihilated Empires,2006.0,65,153,False,False,False,False,False,False,True,False,False,False,False,False,False,False,14.99,0,0
Cossacks: Back to War,2010.0,60,726,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,0,0
Cossacks: European Wars,2011.0,74,135,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,0,0
Cossacks II: Battle for Europe,2011.0,69,223,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,0,0
Natural Selection 2,2012.0,80,7873,False,False,True,True,False,False,True,False,False,False,False,False,False,False,9.99,0,0
Natural Selection 2,2012.0,80,7873,False,False,True,True,False,False,True,False,False,False,False,False,False,False,9.99,0,0
STAR WARS(tm) Republic Commando(tm),2009.0,78,3763,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Indiana Jones(r) and the Fate of Atlantis(tm),2009.0,0,373,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5.99,0,0
STAR WARS(tm) Jedi Knight - Jedi Academy(tm),2009.0,81,3535,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
STAR WARS(tm) Jedi Knight II - Jedi Outcast(tm),2009.0,89,1433,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
The Dig(r),2009.0,0,370,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5.99,0,0
STAR WARS(tm) Battlefront(tm) II,2009.0,78,16580,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Thrillville(r): Off the Rails(tm),2009.0,70,151,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99,0,0
Shank,2010.0,67,1232,False,False,True,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Shank,2010.0,67,1232,False,False,True,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Ghost Master(r),2006.0,81,846,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,0,0
FlatOut,2007.0,72,1241,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7.49,0,0
Making History: The Calm & the Storm,2007.0,70,453,False,False,False,True,False,False,True,False,False,False,False,False,False,False,4.99,0,0
Ducati World Championship,2007.0,35,161,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4.99,0,0
Dreamfall: The Longest Journey,2007.0,75,397,False,False,False,False,True,False,False,True,False,False,False,False,False,False,19.99,0,0
The Longest Journey,2007.0,91,737,False,False,False,True,True,False,False,True,False,False,False,False,False,False,9.99,0,0
Bloodline Champions,2011.0,79,1381,True,False,False,True,False,False,False,False,False,False,True,False,False,True,0.0,0,0
Nexus - The Jupiter Incident,2007.0,77,333,False,False,True,False,False,False,True,False,True,False,False,False,False,False,9.99,0,0
Lost Planet(tm): Extreme Condition,2007.0,66,499,False,False,False,True,True,False,False,False,False,False,False,False,False,False,14.99,0,0
Devil May Cry(r) 3 Special Edition,2007.0,66,1401,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,0,0
Commandos: Behind Enemy Lines,2007.0,0,854,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3.99,0,0
Commandos: Beyond the Call of Duty,2007.0,0,244,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3.99,0,0
Commandos 2: Men of Courage,2007.0,87,877,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3.99,0,0
Commandos 3: Destination Berlin,2007.0,72,415,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3.99,0,0
Hitman 2: Silent Assassin,2007.0,87,1144,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99,0,0
Hitman: Blood Money,2007.0,82,3895,False,False,False,True,False,False,False,False,False,False,False,False,False,False,8.99,0,0
Battlestations: Midway,2007.0,76,214,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99,0,0
Just Cause,2007.0,75,1565,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99,0,0
Hitman: Codename 47,2007.0,73,1049,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99,0,0
Deus Ex: Game of the Year Edition,2007.0,90,3706,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99,0,0
Deus Ex: Invisible War,2007.0,80,679,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99,0,0
Thief: Deadly Shadows,2007.0,85,860,False,False,False,True,False,False,False,False,False,False,False,False,False,False,8.99,0,0
Tomb Raider: Legend,2007.0,82,921,False,False,False,True,True,False,False,False,False,False,False,False,False,False,6.99,0,0
Project: Snowblind,2007.0,76,110,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5.99,0,0
Rogue Trooper,2007.0,69,157,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,0,0
Jade Empire(tm): Special Edition,2007.0,81,721,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14.99,0,0
Trackmania United Forever Star Edition,2008.0,80,633,False,False,False,False,False,False,False,False,False,False,False,False,True,False,29.99,0,1
Runaway A Road Adventure,2007.0,74,212,False,False,False,False,True,False,False,False,False,False,False,False,False,False,9.99,0,0
X-Blades,2009.0,54,1846,False,False,False,True,True,False,False,True,False,False,False,False,False,False,9.99,0,0
Two Worlds II,2011.0,76,3331,False,False,False,False,False,False,False,True,False,False,False,False,False,False,19.99,0,0
Two Worlds II Castle Defense,2011.0,0,221,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99,0,0
Sid Meiers Railroads!,2007.0,77,1097,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99,0,0
Railroad Tycoon 3,2007.0,80,273,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99,0,0
Railroad Tycoon II Platinum,2007.0,89,296,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,0,0
X-COM: Terror From the Deep,2007.0,0,272,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,0,0
X-COM: Apocalypse,2008.0,0,296,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,0,0
BioShock(tm),2007.0,96,16260,False,False,False,True,False,False,False,True,False,False,False,False,False,False,19.99,0,0
X-COM: UFO Defense,2008.0,0,1289,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,0,0
X-COM: Enforcer,2008.0,65,201,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,0,0
Men of War(tm),2009.0,80,1203,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,0,0
NecroVision,2009.0,63,506,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
Call of Duty(r) 4: Modern Warfare(r),2007.0,92,5983,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,0,0
Tomb Raider: Anniversary,2007.0,83,1111,False,False,False,True,True,False,False,False,False,False,False,False,False,False,8.99,0,0
Kane and Lynch: Dead Men(tm),2007.0,67,1136,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99,0,0
Tomb Raider: Underworld,2008.0,80,1079,False,False,False,True,True,False,False,False,False,False,False,False,False,False,8.99,0,0
Battlestations Pacific,2009.0,74,897,False,False,False,True,False,False,True,False,False,False,False,False,False,False,8.99,0,0
Just Cause 2,2010.0,84,27899,False,False,False,True,True,False,False,False,False,False,False,False,False,False,14.99,0,0
Sam & Max 101: Culture Shock,2007.0,0,176,False,False,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0
Sam & Max 104: Abe Lincoln Must Die!,2007.0,0,253,False,False,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0,0
Strong Bads Cool Game for Attractive People: Season 1,2008.0,82,175,False,False,False,False,True,False,False,False,False,False,False,False,False,False,19.99,0,0
Geometry Wars: Retro Evolved,2007.0,76,507,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3.99,0,0
EVE Online,2010.0,88,4269,False,False,False,False,False,False,False,True,False,False,False,False,False,True,19.99,0,0
